average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
43.98, (PAK),337,97,55,Hanif Mohammad,8,3915,1952-1969
39.80, (SA),137,112,65,F du Plessis,14,3901,2012-2020
38.49, (SA),199,110,63,D Elgar,9,3888,2012-2020
40.81, (SL),164,103,57,LD Chandimal,8,3877,2011-2020
39.40, (BDESH),217,105,56,Shakib Al Hasan,7,3862,2007-2019
49.48, (WI),261,87,51,FMM Worrell,9,3860,1948-1963
31.77, (ENG/ICC),167,130,79,A Flintoff,9,3845,1998-2009
44.08, (ENG),226,93,52,IJL Trott,6,3835,2009-2015
35.79, (INDIA),206,121,80,RJ Shastri,14,3830,1981-1992
37.69, (PAK),136,126,88,Imran Khan,25,3807,1971-1992
56.68, (WI),220,74,44,CL Walcott,7,3798,1948-1960
32.31, (SA),111,156,108,SM Pollock,39,3781,1995-2008
35.19, (AUS),176,109,59,SR Watson,3,3731,2005-2015
42.34, (NZ),264*,92,52,TWM Latham,4,3726,2014-2020
36.41, (SA),135,111,68,WJ Cronje,9,3714,1992-2000
41.64, (SA),162*,104,66,AG Prince,16,3665,2002-2011
38.50, (NZ),205,110,70,BJ Watling,15,3658,2009-2020
37.64, (PAK),224,105,55,Mohammad Hafeez,8,3652,2003-2018
39.17, (PAK),201,100,57,Mushtaq Mohammad,7,3643,1959-1979
26.51, (AUS),132,150,96,RW Marsh,13,3633,1970-1984
46.55, (AUS),216,89,52,DM Jones,11,3631,1984-1992
42.22, (INDIA),223,94,59,PR Umrigar,8,3631,1948-1962
46.30, (ENG),262*,88,50,DL Amiss,10,3612,1966-1977
40.43, (ENG),148,93,58,AW Greig,4,3599,1972-1977
38.85, (PAK),175,99,58,Asif Iqbal,7,3575,1964-1980
33.31, (WI),212,114,60,KC Brathwaite,7,3565,2011-2020
46.48, (AUS),206,79,46,AR Morris,3,3533,1946-1955
47.63, (ENG),205*,83,51,EH Hendren,9,3525,1920-1935
37.69, (WI),218,98,54,DM Bravo,5,3506,2010-2019
48.88, (SA),189*,80,42,B Mitchell,9,3471,1929-1949
