average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
16.79, (INDIA),109*,39,26,AB Agarkar,5,571,1998-2006
14.61, (NZ),46,50,32,SB Doull,11,570,1992-2000
21.07, (ZIM),88,27,14,E Chigumbura,0,569,2004-2014
21.88, (ENG),104,26,18,GL Jessop,0,569,1899-1912
13.85, (NZ),47,45,27,DAJ Bracewell,4,568,2011-2016
35.31, (PAK),117,19,14,Aamer Malik,3,565,1987-1994
26.85, (WI),125,21,13,EDAS McMorris,0,564,1958-1966
31.22, (NZ),107,20,12,GO Rabone,2,562,1949-1955
13.92, (AUS),50,50,37,CV Grimmett,10,557,1925-1936
18.53, (SL),72,34,22,MF Maharoof,4,556,2004-2011
9.40, (SL),51,64,40,GP Wickramasinghe,5,555,1991-2001
36.93, (AUS),101,15,12,SJE Loxton,0,554,1948-1951
32.47, (AUS),109,20,14,AG Chipperfield,3,552,1934-1938
22.08, (INDIA),63*,29,21,B Kumar,4,552,2013-2018
42.46, (ENG),214*,15,9,D Lloyd,2,552,1974-1975
36.80, (INDIA),111,16,9,GH Vihari,1,552,2018-2020
30.55, (INDIA),124,18,10,S Amarnath,0,550,1976-1978
8.44, (WI),43,68,38,M Dillon,3,549,1997-2004
13.07, (PAK),56,57,50,Iqbal Qasim,15,549,1976-1988
24.90, (ENG),83,22,13,JM Vince,0,548,2016-2018
20.14, (SA),90,28,15,CB Llewellyn,1,544,1896-1912
10.07, (PAK),47,67,46,Shoaib Akhtar,13,544,1997-2007
30.16, (NZ),116,19,11,WA Hadlee,1,543,1937-1951
49.27, (INDIA),163*,13,7,ML Apte,2,542,1952-1953
16.36, (ZIM),102*,38,19,AG Cremer,5,540,2005-2017
19.28, (ENG),61,33,19,AU Rashid,5,540,2015-2019
33.56, (SL),152*,17,11,LPC Silva,1,537,2006-2008
18.44, (WI),74,32,25,RA Harper,3,535,1983-1993
14.40, (NZ),68*,50,35,RO Collinge,13,533,1965-1978
35.53, (ZIM),83,16,8,PJ Moor,1,533,2016-2018
25.38, (SA),76,23,15,PL van der Merwe,2,533,1963-1967
24.18, (ZIM),107,23,13,NC Johnson,1,532,1998-2000
31.29, (INDIA),108,18,11,HH Pandya,1,532,2017-2018
33.18, (SL),118,17,9,S Ranatunga,1,531,1994-1997
21.20, (BDESH),145,26,13,Aminul Islam,1,530,2000-2002
16.56, (WI),54,42,28,CC Griffith,10,530,1960-1969
14.32, (NZ),56,42,26,DR Hadlee,5,530,1969-1978
21.20, (SA),97,26,14,LJ Tancred,1,530,1902-1913
27.68, (ENG),60,20,11,MD Stoneman,1,526,2017-2018
20.23, (SA),60,38,25,CL Vincent,12,526,1927-1935
23.72, (AUS),124,23,12,CS Serjeant,1,522,1977-1978
13.35, (ENG),56,58,41,GR Dilley,19,521,1979-1989
10.01, (BDESH),40,69,38,Shahadat Hossain,17,521,2005-2015
23.54, (BDESH),121,22,11,Nafees Iqbal,0,518,2004-2006
17.06, (AUS),128,30,17,GJ Bonnor,0,512,1880-1888
28.38, (SA),125,19,11,WW Wade,1,511,1938-1950
22.17, (ENG),90,25,15,WH Scotton,2,510,1881-1887
16.41, (AUS),43,33,20,AJY Hopkins,2,509,1902-1909
72.57, (SA),140,7,4,BA Richards,0,508,1970-1970
19.50, (PAK),99,27,16,Maqsood Ahmed,1,507,1952-1955
22.00, (ENG),112,28,21,JT Murray,5,506,1961-1967
21.04, (WI),84,25,15,RO Hinds,1,505,2002-2009
55.88, (AUS),203*,11,6,BJ Hodge,2,503,2005-2008
41.83, (AUS),96,14,9,BK Shepherd,2,502,1963-1965
62.62, (PAK),210*,10,6,Taslim Arif,2,501,1980-1980
19.11, (NZ),76,27,14,ME Chapple,1,497,1953-1966
11.29, (INDIA),51*,64,49,Mohammed Shami,20,497,2013-2020
41.33, (ENG),88,12,7,JB Bolus,0,496,1963-1964
20.54, (ENG),64,25,13,W Larkins,1,493,1980-1991
24.60, (NZ),104,20,14,ML Page,0,492,1930-1937
6.97, (WI),25,109,79,LR Gibbs,39,488,1958-1976
11.59, (PAK),49,56,36,Mohammad Sami,14,487,2001-2012
37.46, (ENG),117,13,7,A Ward,0,487,1893-1895
14.29, (WI),42,39,26,SJ Benn,5,486,2008-2015
28.58, (WI),123*,18,9,FR Martin,1,486,1928-1931
25.52, (PAK),76,21,11,Imam-ul-Haq,2,485,2018-2019
19.40, (ENG),98,28,21,H Larwood,3,485,1926-1933
37.23, (AUS),116,14,10,CE Pellew,1,484,1920-1921
23.00, (AUS),101,22,15,GJ Gilmour,1,483,1973-1977
24.15, (AUS),90,21,14,PR Sleep,1,483,1979-1990
48.10, (ENG),158,10,8,CT Radley,0,481,1978-1978
24.05, (BDESH),66,22,11,Sabbir Rahman,2,481,2016-2018
32.06, (ENG),119,15,10,RH Spooner,0,481,1905-1912
17.81, (NZ),64,33,17,BW Yuile,6,481,1963-1969
28.11, (WI),92,19,11,JED Sealy,2,478,1930-1939
25.15, (AUS),76,22,11,J Worrall,3,478,1885-1899
12.86, (SL),47,39,25,KTGD Prasad,2,476,2008-2015
27.88, (AUS),85,18,12,LS Darling,1,474,1933-1937
47.40, (AUS),164,11,8,A Jackson,1,474,1929-1931
7.27, (ENG),38,92,67,MJ Hoggard,27,473,2000-2008
18.84, (AUS),124,27,15,TP Horan,2,471,1877-1885
29.37, (INDIA),100*,18,12,SB Bangar,2,470,2001-2002
18.80, (WI),85,26,21,WKM Benjamin,1,470,1987-1995
36.15, (ENG),140,16,8,JT Brown,3,470,1894-1899
22.33, (ENG),74,23,12,JN Crawford,2,469,1906-1908
39.08, (WI),111,12,7,AB Williams,0,469,1978-1979
22.28, (AUS),66,23,17,PM Nevill,2,468,2015-2016
12.91, (ZIM),53,45,26,BC Strang,9,465,1995-2001
27.29, (SA),84,20,15,RJ Peterson,3,464,2003-2014
17.07, (ENG),57,29,17,JM Read,2,461,1882-1893
10.69, (SA),46,48,37,PL Harris,5,460,2007-2011
51.11, (SA),125,9,5,PGV van der Bijl,0,460,1938-1939
35.30, (AUS),104*,17,14,CL McCool,4,459,1946-1950
13.90, (SA),64,42,23,TA Ward,9,459,1912-1924
28.62, (NZ),84,17,10,VJ Scott,1,458,1946-1952
13.05, (AUS),45,37,21,A Cotter,2,457,1904-1912
32.64, (ENG),125,16,9,AR Lewis,2,457,1972-1973
26.82, (NZ),78,20,11,TE Blain,3,456,1986-1994
32.57, (AUS),106,14,8,TM Moody,0,456,1989-1992
19.78, (SA),59,30,18,JM Blanckenberg,7,455,1913-1924
56.87, (SL),116,10,6,DAS Gunaratne,2,455,2016-2017
28.43, (ENG),99,17,10,MD Moxon,1,455,1986-1989
21.61, (WI),115,21,13,BH Pairaudeau,0,454,1953-1957
41.27, (ENG),135*,13,8,OJ Pope,2,454,2018-2020
64.85, (ENG),136,9,7,BH Valentine,2,454,1933-1939
21.61, (ENG),90,21,12,B Wood,0,454,1972-1978
11.00, (PAK),50,53,35,Saeed Ajmal,12,451,2009-2014
24.94, (ZIM),118,18,9,MA Vermeulen,0,449,2002-2014
24.88, (INDIA),96,19,11,WV Raman,1,448,1988-1997
21.33, (NZ),63,25,17,IS Sodhi,4,448,2013-2018
29.80, (ENG),102,16,11,TR Ambrose,1,447,2008-2009
29.80, (ZIM),81,19,13,TJ Friend,4,447,2001-2004
18.62, (WI),64,32,20,JL Hendriks,8,447,1962-1969
26.23, (AUS),82*,18,10,CT Bancroft,1,446,2017-2019
11.73, (ENG),39,45,29,NA Foster,7,446,1983-1993
14.35, (AUS),33,39,25,RJ Bright,8,445,1977-1986
10.59, (AUS),25,54,38,MS Kasprowicz,12,445,1996-2006
25.94, (NZ),74,19,11,CD Cumming,2,441,2005-2008
23.21, (PAK),126,19,10,Mohammad Ilyas,0,441,1964-1969
20.95, (NZ),102,23,12,JW Guy,2,440,1955-1961
9.75, (AUS),52,58,38,RM Hogg,13,439,1978-1984
20.90, (NZ),66,21,13,WM Wallace,0,439,1937-1953
23.00, (INDIA),60,19,10,A Chopra,0,437,2003-2004
18.95, (PAK),72,24,13,Saleem Elahi,1,436,1995-2003
14.43, (SL),56,36,23,RJ Ratnayake,6,433,1983-1992
26.93, (AUS),87,19,13,PL Taylor,3,431,1987-1991
11.62, (AUS),43*,50,38,AA Mallett,13,430,1968-1980
23.77, (INDIA),112,18,10,AA Baig,0,428,1959-1967
19.45, (SA),101,23,12,TB de Bruyn,1,428,2017-2019
21.40, (AUS),87,24,12,SP Jones,4,428,1882-1888
32.84, (PAK),131,13,8,Imran Nazir,0,427,1999-2002
14.72, (ENG),83,33,20,R Peel,4,427,1884-1896
23.72, (SA),115,22,13,PW Sherwell,4,427,1906-1911
16.42, (NZ),80*,36,26,DR Tuffey,10,427,2000-2010
25.05, (AUS),75,24,17,NM Hauritz,7,426,2004-2010
22.42, (AUS),67,21,13,DT Ring,2,426,1948-1953
42.50, (INDIA),103,13,11,PK Amre,3,425,1992-1993
47.22, (NZ),121,11,6,TA Blundell,2,425,2017-2020
20.19, (ENG),104,22,11,D Denton,1,424,1905-1910
23.50, (NZ),92,18,9,RW Anderson,0,423,1976-1978
28.13, (INDIA),100*,20,14,AG Kripal Singh,5,422,1955-1964
12.02, (ENG),59,46,34,GG Arnold,11,421,1967-1975
16.19, (ENG),37*,34,21,RDB Croft,8,421,1996-2001
42.10, (NZ),100,10,7,HG Vivian,0,421,1931-1937
13.48, (INDIA),85,44,28,RB Desai,13,418,1959-1968
34.83, (SL),96,15,8,CK Kapugedera,3,418,2006-2009
32.15, (WI),100*,16,9,CL King,3,418,1976-1980
26.06, (AUS),47*,25,21,JL Pattinson,9,417,2011-2020
32.00, (BDESH),108,15,8,Naeem Islam,2,416,2008-2012
23.11, (ENG),63,21,13,AE Relf,3,416,1903-1914
29.71, (NZ),74*,16,11,GL Weir,2,416,1930-1937
25.81, (WI),71*,22,12,GC Grant,6,413,1930-1935
37.45, (ENG),133*,12,7,DP Sibley,1,412,2019-2020
10.04, (BDESH),39*,48,29,Taijul Islam,7,412,2014-2020
51.25, (AUS),65,12,10,AG Fairfax,4,410,1929-1931
12.81, (AUS),56*,39,27,WJ O'Reilly,7,410,1932-1946
45.44, (ENG),107,9,6,AH Bakewell,0,409,1931-1935
27.20, (ENG),110*,17,9,DJ Insole,2,408,1950-1957
7.82, (WI),36*,57,37,DBL Powell,5,407,2002-2009
21.36, (SL),61,22,12,DS de Silva,3,406,1982-1984
26.86, (ENG),107,16,8,JH Hampshire,1,403,1969-1975
25.18, (WI),66,16,9,LR Johnson,0,403,2014-2016
31.00, (AUS),100,13,9,AJ Richardson,0,403,1924-1926
14.39, (INDIA),43,40,35,NS Yadav,12,403,1979-1987
12.18, (AUS),39,62,51,JR Hazlewood,29,402,2014-2019
12.53, (WI),95,38,25,TL Best,6,401,2003-2013
33.41, (AUS),127,12,8,KE Rigg,0,401,1931-1937
14.81, (AUS),78,30,19,BN Jarman,3,400,1959-1969
13.33, (SA),52,31,19,NBF Mann,1,400,1947-1951
18.13, (ENG),52,28,16,MA Wood,6,399,2015-2020
30.53, (SA),73,15,9,M van Jaarsveld,2,397,2002-2004
22.00, (INDIA),54,27,23,C Sharma,9,396,1984-1989
14.10, (PAK),60,31,22,Abdur Rehman,3,395,2007-2014
10.39, (AUS),45,46,29,JW Gleeson,8,395,1967-1972
15.19, (PAK),47,32,19,Shujauddin,6,395,1954-1962
26.33, (SA),101*,17,12,S van Zyl,2,395,2014-2016
26.26, (NZ),99,15,8,JEF Beck,0,394,1953-1956
6.56, (WI),30,88,55,FH Edwards,28,394,2003-2012
18.76, (AUS),54,24,13,SJ Rixon,3,394,1977-1985
17.13, (AUS),92,26,21,D Tallon,3,394,1946-1953
43.66, (SL),102,11,6,BOP Fernando,2,393,2019-2020
21.77, (ENG),102*,20,11,W Gunn,2,392,1887-1899
30.15, (ENG),91,14,8,CL Smith,1,392,1983-1986
14.48, (SL),64,28,21,KMDN Kulasekara,1,391,2005-2014
26.06, (AUS),90,15,9,RB Minnett,0,391,1911-1912
7.46, (ENG),32,67,46,ARC Fraser,15,388,1989-1998
16.12, (WI),68,30,20,CO Browne,6,387,1995-2005
21.44, (WI),67,20,12,VC Drakes,2,386,2002-2004
24.06, (AUS),79,17,9,MS Harris,1,385,2018-2019
17.50, (SL),49,23,13,J Mubarak,1,385,2002-2015
35.00, (ENG),87,12,8,MJ Stewart,1,385,1962-1964
11.29, (BDESH),66,40,21,Tapash Baisya,6,384,2002-2005
22.52, (ENG),95,21,16,EE Hemmings,4,383,1982-1991
34.81, (AUS),118,12,7,J Moroney,1,383,1949-1952
21.22, (NZ),55,21,12,LK Germon,3,382,1995-1997
22.41, (WI),65,20,12,DR Parry,3,381,1978-1980
12.70, (NZ),47,38,24,JS Patel,8,381,2006-2017
19.00, (ENG),60,21,13,PGH Fender,1,380,1921-1929
25.33, (WI),91,17,11,RIC Holder,2,380,1997-1999
8.42, (NZ),42,71,48,DK Morrison,26,379,1987-1997
29.15, (WI),63,14,8,S Shivnarine,1,379,1978-1979
22.23, (NZ),101,18,9,PGZ Harris,1,378,1955-1965
25.13, (NZ),55,15,8,GN Edwards,0,377,1977-1981
37.60, (ENG),136*,12,7,FG Mann,2,376,1948-1949
15.58, (ENG),98,25,15,DJ Capel,1,374,1987-1990
14.96, (AUS),53,37,26,GRA Langley,12,374,1951-1956
62.33, (INDIA),303*,7,6,KK Nair,1,374,2016-2017
13.85, (SA),61,35,20,RO Schwarz,8,374,1906-1912
28.69, (ENG),78,13,7,WGA Parkhouse,0,373,1950-1959
37.20, (WI),125,12,6,RG Samuels,2,372,1996-1997
14.23, (NZ),50*,30,17,AE Dick,4,370,1961-1965
23.12, (PAK),61,18,10,Talat Ali,2,370,1972-1979
26.42, (SL),103*,16,10,KDK Vithanage,2,370,2013-2015
12.26, (WI),46,32,19,NAM McLean,2,368,1998-2001
16.72, (ENG),50,25,15,IDK Salisbury,3,368,1992-2000
14.07, (NZ),36,34,25,PJ Wiseman,8,366,1998-2005
16.59, (AUS),45*,37,27,NJN Hawke,15,365,1963-1968
21.29, (ENG),70,18,10,WE Russell,1,362,1961-1967
8.20, (WI),44,58,43,S Ramadhin,14,361,1950-1961
9.00, (SA),35,55,45,PR Adams,15,360,1995-2004
7.05, (PAK),29,84,61,Danish Kaneria,33,360,2000-2010
18.94, (ENG),55,23,15,CMW Read,4,360,1999-2007
18.89, (SA),67*,26,18,PS de Villiers,7,359,1993-1998
27.61, (AUS),102,14,8,HJH Scott,1,359,1884-1886
19.88, (AUS),53,18,11,ID Craig,0,358,1953-1958
25.57, (ENG),70,16,9,BC Rose,2,358,1977-1981
27.46, (ENG),88,14,7,P Holmes,1,357,1921-1932
15.47, (SA),35*,28,16,SJ Pegler,5,356,1910-1924
16.90, (AUS),71,22,19,AJ Bichel,1,355,1997-2003
16.90, (SA),47,22,12,JMM Commaille,1,355,1910-1928
13.65, (AUS),56*,38,27,BW Hilfenhaus,12,355,2009-2012
17.75, (SA),90,22,13,PNF Mansell,2,355,1951-1955
29.58, (ENG),78*,19,14,MS Nichols,7,355,1930-1939
15.43, (NZ),45,24,14,MB Poore,1,355,1953-1956
16.13, (SA),42,23,12,WA Shalders,1,355,1899-1907
27.23, (ENG),92,14,7,RT Spooner,1,354,1951-1955
17.65, (NZ),45,24,14,MN Hart,4,353,1994-1995
50.42, (SA),102,7,4,BL Irvine,0,353,1970-1970
25.21, (SL),111,16,9,SAR Silva,2,353,1983-1988
16.04, (AUS),48,27,16,HB Taber,5,353,1966-1970
20.70, (INDIA),92,19,15,SB Joshi,2,352,1996-2000
21.93, (NZ),61,18,9,JG Leggat,2,351,1952-1956
23.40, (ZIM),57,16,8,S Matsikenyeri,1,351,2003-2005
18.42, (INDIA),52,20,11,DK Gaekwad,1,350,1952-1961
21.87, (ENG),88*,18,17,P Lever,2,350,1970-1975
25.00, (INDIA),81,14,7,CK Nayudu,0,350,1932-1936
9.69, (AUS),43,47,44,SCG MacGill,11,349,1998-2008
18.31, (SA),62*,25,18,CR Matthews,6,348,1992-1995
14.50, (SA),69,31,17,EP Nupen,7,348,1921-1936
26.69, (BDESH),48,14,7,Jahurul Islam,1,347,2010-2013
13.84, (NZ),47,25,13,LSM Miller,0,346,1953-1958
28.75, (ENG),60,12,6,MA Carberry,0,345,2010-2014
19.16, (AUS),76,18,11,EW Freeman,0,345,1968-1970
19.16, (PAK),60,19,11,Rizwan-uz-Zaman,1,345,1981-1989
19.16, (BDESH),49,18,9,Sanwar Hossain,0,345,2001-2003
31.36, (ENG),74*,12,9,Lord Tennyson,1,345,1913-1921
28.66, (INDIA),100,13,8,D Dasgupta,1,344,2001-2002
13.23, (WI),69,28,19,FA Rose,2,344,1997-2000
14.33, (SA),48,24,13,LA Stricker,0,344,1910-1912
31.18, (WI),95,11,6,TM Dowlin,0,343,2009-2010
17.15, (NZ),46,22,14,FLH Mooney,2,343,1949-1954
28.50, (WI),164,13,8,CA Best,1,342,1986-1990
11.79, (ENG),44*,34,26,DJ Brown,5,342,1965-1969
28.41, (ENG),126,12,7,KL Hutchings,0,341,1907-1909
21.31, (NZ),71,17,9,CFK van Wyk,1,341,2012-2012
17.00, (SA),65,26,15,AEE Vogler,6,340,1906-1911
11.33, (INDIA),31,52,46,UT Yadav,22,340,2011-2020
12.55, (AUS),51*,33,19,TW Garrett,6,339,1877-1888
26.07, (AUS),104,14,7,GJ Maxwell,1,339,2013-2017
9.91, (SA),34,42,36,A Nel,8,337,2001-2008
10.18, (PAK),35,39,27,Mahmood Hussain,6,336,1952-1962
19.76, (BDESH),65,18,9,Raqibul Hasan,1,336,2008-2011
30.54, (ENG),127,11,7,SD Robson,0,336,2014-2014
20.93, (AUS),112,18,11,HSTL Hendry,2,335,1921-1929
14.56, (WI),40*,31,18,R Rampaul,8,335,2009-2012
55.83, (INDIA),134,7,4,PP Shaw,1,335,2018-2020
30.36, (WI),55,14,7,JD Campbell,3,334,2019-2020
15.85, (ZIM),68*,22,14,MH Dekker,1,333,1993-1996
41.50, (ENG),107,10,5,BT Foakes,2,332,2018-2019
27.50, (NZ),96,13,9,RC Blunt,1,330,1930-1932
23.57, (ENG),71,15,11,FR Foster,1,330,1911-1912
25.30, (INDIA),62,14,8,VL Mehra,1,329,1955-1964
36.55, (PAK),133,10,6,Wajahatullah Wasti,1,329,1999-2000
14.86, (NZ),41*,30,17,AM Moir,8,327,1951-1959
14.86, (NZ),33*,30,25,MC Snedden,8,327,1981-1990
20.43, (SA),40*,18,10,HF Wade,2,327,1935-1936
14.17, (SL),34,28,17,ALF de Mel,5,326,1982-1986
25.00, (SA),88,13,7,GM Fullerton,0,325,1947-1951
17.10, (SA),102,20,12,CMH Hathorn,1,325,1902-1911
21.66, (NZ),83,16,8,AJ Redmond,1,325,2008-2013
21.66, (BDESH),101*,16,10,Sohag Gazi,1,325,2012-2014
29.54, (AUS),61,12,8,G Thomas,1,325,1965-1966
11.53, (AUS),29,32,17,CTB Turner,4,323,1887-1895
107.00, (PAK),174,4,3,Abid Ali,1,321,2019-2020
29.18, (ENG),128,11,9,TS Worthington,0,321,1930-1937
53.33, (SL),201*,7,4,DSBP Kuruppu,1,320,1987-1991
22.85, (INDIA),81,14,7,A Mukund,0,320,2011-2017
24.61, (WI),105*,14,10,DR Smith,1,320,2004-2006
29.00, (ENG),56,13,7,JF Crapp,2,319,1948-1949
39.87, (NZ),88,8,4,L Ronchi,0,319,2015-2016
26.50, (WI),50*,16,10,OAC Banks,4,318,2003-2005
21.20, (SA),73,16,8,HJ Keith,1,318,1953-1957
17.66, (PAK),35*,38,34,Tauseef Ahmed,20,318,1980-1993
15.65, (ENG),31,31,22,RJ Sidebottom,11,313,2001-2010
26.00, (ENG),76,13,7,JWA Taylor,1,312,2012-2016
31.10, (ENG),72,10,5,J Hardstaff snr,0,311,1907-1908
18.11, (ENG),59,21,16,BN French,4,308,1986-1988
19.25, (BDESH),67,16,9,Mohammad Mithun,0,308,2018-2020
13.39, (ENG),66,38,27,W Voce,15,308,1930-1947
11.76, (ENG),53,31,21,JK Lever,5,306,1976-1986
18.00, (SA),50*,21,13,Q McMillan,4,306,1929-1932
8.50, (PAK),39,41,27,Wahab Riaz,5,306,2010-2018
19.06, (AUS),71*,19,20,DW Fleming,3,305,1994-2001
25.41, (BDESH),106,12,6,Shamsur Rahman,0,305,2014-2014
16.83, (NZ),52,18,9,BR Hartland,0,303,1992-1994
16.83, (AUS),82,21,11,AH Jarvis,3,303,1885-1895
20.20, (NZ),52,16,8,DJ Murray,1,303,1994-1995
43.14, (ZIM),101*,8,4,KJ Arnott,1,302,1992-1993
30.10, (AUS),107,10,6,H Graham,0,301,1893-1896
25.00, (SA),83,12,7,PAM Hands,0,300,1913-1924
21.42, (PAK),57,19,15,Tahir Naqqash,5,300,1982-1985
29.90, (ENG),84,12,7,G Brown,2,299,1921-1923
18.68, (SL),61,16,8,MD Gunathilaka,0,299,2017-2018
49.83, (ENG),196,7,5,GB Legge,1,299,1927-1930
19.93, (ZIM),49*,20,10,DT Tiripano,5,299,2014-2020
15.68, (SA),73*,23,15,ACB Langton,4,298,1935-1939
29.80, (ENG),72,10,6,A Mitchell,0,298,1933-1936
37.25, (AFG),102,8,4,Rahmat Shah,0,298,2018-2019
33.11, (SL),68,9,5,TAM Siriwardana,0,298,2015-2016
27.00, (SA),98,12,7,S O'Linn,1,297,1960-1961
29.70, (WI),47,15,9,N Phillip,5,297,1978-1979
14.09, (AUS),48,25,17,GE Palmer,4,296,1880-1886
12.82, (NZ),51,31,20,RS Cunis,8,295,1964-1972
18.37, (SL),63,18,11,RS Kalpage,2,294,1993-1999
24.50, (ENG),65*,17,11,SJ Rhodes,5,294,1994-1995
20.92, (SA),55,15,9,OC Dawson,1,293,1947-1949
22.53, (AUS),77,13,7,DF Whatmore,0,293,1979-1979
22.46, (INDIA),51,14,7,L Amar Singh,1,292,1932-1936
12.12, (NZ),61,42,30,HJ Howarth,18,291,1969-1977
13.85, (ENG),34,21,12,AO Jones,0,291,1899-1909
17.05, (SA),41,23,15,AMB Rowan,6,290,1947-1951
11.56, (NZ),57,30,19,KD Mills,5,289,2004-2009
22.23, (SA),109,14,10,ARA Murray,1,289,1952-1954
11.11, (ENG),45,39,34,DVP Wright,13,289,1938-1951
18.00, (PAK),78,16,9,Zahid Fazal,0,288,1990-1995
8.47, (SL),28*,40,30,DNT Zoysa,6,288,1997-2004
20.35, (NZ),109,14,7,PT Barton,0,285,1961-1963
21.92, (ENG),133,13,8,CJ Richards,0,285,1986-1988
31.55, (WI),104,9,5,CB Lambert,0,284,1991-1998
35.12, (ENG),84,9,5,FT Mann,1,281,1922-1923
10.40, (INDIA),35,40,27,S Sreesanth,13,281,2006-2011
25.54, (AUS),93,11,6,JM Wiener,0,281,1979-1980
18.66, (ENG),61,16,10,MC Bird,1,280,1910-1914
11.16, (ENG),56,47,36,ST Finn,22,279,2010-2016
19.92, (PAK),58,16,8,Ijaz Butt,2,279,1959-1962
34.87, (ENG),117,8,4,JWH Makepeace,0,279,1920-1921
21.46, (WI),92,13,7,PA Wallace,0,279,1997-1999
27.80, (AUS),62,10,5,AJ Finch,0,278,2018-2018
17.37, (WI),49,16,8,LMP Simmons,0,278,2009-2011
34.75, (NZ),78,8,5,GR Stead,0,278,1999-1999
39.57, (PAK),124*,8,5,Nazar Mohammad,1,277,1952-1952
16.23, (WI),105,19,11,IM Barrow,2,276,1930-1939
14.52, (PAK),53*,31,21,Saleem Altaf,12,276,1967-1978
11.45, (SL),64,37,30,SL Malinga,13,275,2004-2010
25.00, (BDESH),76,11,6,Shadman Islam,0,275,2018-2019
34.25, (SA),98,8,4,HE van der Dussen,0,274,2019-2020
11.37, (AUS),29,49,40,WA Johnston,25,273,1947-1955
30.33, (ENG),63,10,6,GJ Thompson,1,273,1909-1910
34.00, (PAK),95,8,4,Abdul Kadir,0,272,1964-1965
9.71, (NZ),34,34,21,JC Alabaster,6,272,1955-1972
13.45, (AUS/ENG),37,21,12,WE Midwinter,1,269,1877-1887
26.90, (ENG),88,10,6,OA Shah,0,269,2006-2009
33.50, (SA),65,8,5,MJ Susskind,0,268,1924-1924
12.09, (BDESH),45,23,12,Khaled Mahmud,1,266,2001-2003
13.30, (WI),53*,26,16,S Shillingford,6,266,2010-2014
20.38, (ENG),107,13,7,A Lyth,0,265,2015-2015
9.46, (BDESH),45*,47,27,Rubel Hossain,19,265,2009-2020
13.94, (NZ),46,19,10,MJF Shrimpton,0,265,1963-1974
15.47, (NZ),40,18,10,GA Bartlett,1,263,1961-1968
15.47, (ENG),59,24,17,GC Small,7,263,1986-1991
15.47, (ENG),69,17,10,GTS Stevens,0,263,1922-1930
18.78, (INDIA),75,15,9,V Subramanya,1,263,1965-1968
32.62, (ZIM),86,8,5,SM Ervine,0,261,2003-2004
8.70, (ZIM),36,38,22,RW Price,8,261,1999-2013
10.40, (AUS),37,45,29,AN Connolly,20,260,1963-1971
16.25, (NZ),57*,19,11,RG Hart,3,260,2002-2003
16.18, (BDESH),44,16,8,Akram Khan,0,259,2000-2003
86.33, (WI),88,5,3,DM Lewis,2,259,1971-1971
51.60, (IRE),118,6,3,KJ O'Brien,1,258,2018-2019
12.90, (NZ),55,25,14,EC Petrie,5,258,1955-1966
17.13, (INDIA),57,19,13,Arshad Ayub,4,257,1987-1989
25.70, (BDESH),69,11,6,Manjural Islam Rana,1,257,2004-2004
23.36, (AUS),103,11,6,DM Wellham,0,257,1981-1987
23.27, (ENG),70,12,6,J Selby,1,256,1877-1882
18.14, (ZIM),80,14,7,BB Chari,0,254,2014-2018
42.33, (INDIA),59,6,3,Dilawar Hussain,0,254,1934-1936
18.14, (ENG),56,14,8,W Flowers,0,254,1884-1893
23.09, (AUS),50,13,7,HV Hordern,2,254,1911-1912
23.09, (NZ),84*,12,7,ADG Roberts,1,254,1976-1976
16.93, (ENG),65,17,11,R Swetman,2,254,1959-1960
31.62, (PAK),166,8,4,Khalid Ibadulla,0,253,1964-1967
36.00, (ENG),109,7,5,EH Bowley,0,252,1929-1930
21.00, (NZ),42,15,10,TB Burtt,3,252,1947-1953
28.00, (ENG),64,9,5,NF Druce,0,252,1897-1898
31.50, (SA),72,9,5,CM Francois,1,252,1922-1923
16.80, (AUS),41,16,8,PA McAlister,1,252,1904-1909
42.00, (SA),129,8,5,HGO Owen-Smith,2,252,1929-1929
25.20, (PAK),65,12,9,Sohail Khan,2,252,2009-2016
62.75, (ENG),124,4,3,AJL Hill,0,251,1896-1896
31.25, (ENG),76,8,5,Z Crawley,0,250,2019-2020
41.66, (PAK),168,6,3,Fawad Alam,0,250,2009-2009
35.57, (AFG),92,7,4,Asghar Afghan,0,249,2018-2019
8.30, (SL),39*,47,40,CRD Fernando,17,249,2000-2012
15.56, (ENG),66,20,14,G Geary,4,249,1924-1934
27.66, (ENG),83,10,6,VJ Marks,1,249,1982-1984
15.56, (AUS),55,16,9,HH Massie,0,249,1881-1885
15.50, (BDESH),43,22,13,Abdur Razzak,6,248,2006-2018
13.05, (AUS),39,26,24,SR Clark,7,248,2006-2009
15.50, (NZ),50,16,10,EJ Gray,0,248,1983-1988
27.55, (NZ),66*,10,5,AW Roberts,1,248,1930-1937
16.40, (NZ),86,16,8,MHW Papps,1,246,2004-2007
20.50, (AUS),52*,14,10,TJ Zoehrer,2,246,1986-1987
30.62, (WI),68,8,4,BA Davis,0,245,1965-1965
27.22, (INDIA),62,10,5,RB Kenny,1,245,1958-1960
18.84, (ENG),68,13,7,FA Lowson,0,245,1951-1955
30.62, (WI),92,8,4,RK Nunes,0,245,1928-1930
15.25, (ENG),106*,17,9,FC Hayes,1,244,1973-1976
22.18, (BDESH),50,15,8,Shuvagata Hom,4,244,2014-2016
20.25, (WI),85,12,7,XM Marshall,0,243,2005-2009
